sentence,NotClitic2,LBE,NotSV,NounScram
Мама будет читать интересную книгу.,0,0,0,0
Мама будет читать книгу интересную.,0,0,0,1
Мама будет интересную читать книгу.,0,1,0,0
Мама будет интересную книгу читать.,0,1,0,1
Мама будет книгу читать интересную.,0,0,0,1
Мама будет книгу интересную читать.,0,1,0,1
Мама читать будет интересную книгу.,1,0,0,0
Мама читать будет книгу интересную.,1,0,0,1
Мама читать интересную будет книгу.,1,0,0,0
Мама читать интересную книгу будет.,1,0,0,1
Мама читать книгу будет интересную.,1,0,0,1
Мама читать книгу интересную будет.,1,0,0,1
Мама интересную будет читать книгу.,1,1,0,0
Мама интересную будет книгу читать.,1,1,0,1
Мама интересную читать будет книгу.,1,1,0,0
Мама интересную читать книгу будет.,1,1,0,1
Мама интересную книгу будет читать.,1,1,0,1
Мама интересную книгу читать будет.,1,1,0,1
Мама книгу будет читать интересную.,1,0,0,1
Мама книгу будет интересную читать.,1,1,0,1
Мама книгу читать будет интересную.,1,0,0,1
Мама книгу читать интересную будет.,1,0,0,1
Мама книгу интересную будет читать.,1,1,0,1
Мама книгу интересную читать будет.,1,1,0,1
Будет мама читать интересную книгу.,1,0,0,0
Будет мама читать книгу интересную.,1,0,0,1
Будет мама интересную читать книгу.,1,1,0,0
Будет мама интересную книгу читать.,1,1,0,1
Будет мама книгу читать интересную.,1,0,0,1
Будет мама книгу интересную читать.,1,1,0,1
Будет читать мама интересную книгу.,1,0,1,0
Будет читать мама книгу интересную.,1,0,1,1
Будет читать интересную мама книгу.,1,0,1,0
Будет читать интересную книгу мама.,1,0,1,1
Будет читать книгу мама интересную.,1,0,1,1
Будет читать книгу интересную мама.,1,0,1,1
Будет интересную мама читать книгу.,1,1,0,0
Будет интересную мама книгу читать.,1,1,0,1
Будет интересную читать мама книгу.,1,1,1,0
Будет интересную читать книгу мама.,1,1,1,1
Будет интересную книгу мама читать.,1,1,0,1
Будет интересную книгу читать мама.,1,1,1,1
Будет книгу мама читать интересную.,1,0,0,1
Будет книгу мама интересную читать.,1,1,0,1
Будет книгу читать мама интересную.,1,0,1,1
Будет книгу читать интересную мама.,1,0,1,1
Будет книгу интересную мама читать.,1,1,0,1
Будет книгу интересную читать мама.,1,1,1,1
Читать мама будет интересную книгу.,1,0,1,0
Читать мама будет книгу интересную.,1,0,1,1
Читать мама интересную будет книгу.,1,0,1,0
Читать мама интересную книгу будет.,1,0,1,1
Читать мама книгу будет интересную.,1,0,1,1
Читать мама книгу интересную будет.,1,0,1,1
Читать будет мама интересную книгу.,0,0,1,0
Читать будет мама книгу интересную.,0,0,1,1
Читать будет интересную мама книгу.,0,0,1,0
Читать будет интересную книгу мама.,0,0,1,1
Читать будет книгу мама интересную.,0,0,1,1
Читать будет книгу интересную мама.,0,0,1,1
Читать интересную мама будет книгу.,1,0,1,0
Читать интересную мама книгу будет.,1,0,1,1
Читать интересную будет мама книгу.,1,0,1,0
Читать интересную будет книгу мама.,1,0,1,1
Читать интересную книгу мама будет.,1,0,1,1
Читать интересную книгу будет мама.,1,0,1,1
Читать книгу мама будет интересную.,1,0,1,1
Читать книгу мама интересную будет.,1,0,1,1
Читать книгу будет мама интересную.,1,0,1,1
Читать книгу будет интересную мама.,1,0,1,1
Читать книгу интересную мама будет.,1,0,1,1
Читать книгу интересную будет мама.,1,0,1,1
Интересную мама будет читать книгу.,1,1,0,0
Интересную мама будет книгу читать.,1,1,0,1
Интересную мама читать будет книгу.,1,1,0,0
Интересную мама читать книгу будет.,1,1,0,1
Интересную мама книгу будет читать.,1,1,0,1
Интересную мама книгу читать будет.,1,1,0,1
Интересную будет мама читать книгу.,0,1,0,0
Интересную будет мама книгу читать.,0,1,0,1
Интересную будет читать мама книгу.,0,1,1,0
Интересную будет читать книгу мама.,0,1,1,1
Интересную будет книгу мама читать.,0,1,0,1
Интересную будет книгу читать мама.,0,1,1,1
Интересную читать мама будет книгу.,1,1,1,0
Интересную читать мама книгу будет.,1,1,1,1
Интересную читать будет мама книгу.,1,1,1,0
Интересную читать будет книгу мама.,1,1,1,1
Интересную читать книгу мама будет.,1,1,1,1
Интересную читать книгу будет мама.,1,1,1,1
Интересную книгу мама будет читать.,1,1,0,1
Интересную книгу мама читать будет.,1,1,0,1
Интересную книгу будет мама читать.,1,1,0,1
Интересную книгу будет читать мама.,1,1,1,1
Интересную книгу читать мама будет.,1,1,1,1
Интересную книгу читать будет мама.,1,1,1,1
Книгу мама будет читать интересную.,1,0,0,1
Книгу мама будет интересную читать.,1,1,0,1
Книгу мама читать будет интересную.,1,0,0,1
Книгу мама читать интересную будет.,1,0,0,1
Книгу мама интересную будет читать.,1,1,0,1
Книгу мама интересную читать будет.,1,1,0,1
Книгу будет мама читать интересную.,0,0,0,1
Книгу будет мама интересную читать.,0,1,0,1
Книгу будет читать мама интересную.,0,0,1,1
Книгу будет читать интересную мама.,0,0,1,1
Книгу будет интересную мама читать.,0,1,0,1
Книгу будет интересную читать мама.,0,1,1,1
Книгу читать мама будет интересную.,1,0,1,1
Книгу читать мама интересную будет.,1,0,1,1
Книгу читать будет мама интересную.,1,0,1,1
Книгу читать будет интересную мама.,1,0,1,1
Книгу читать интересную мама будет.,1,0,1,1
Книгу читать интересную будет мама.,1,0,1,1
Книгу интересную мама будет читать.,1,1,0,1
Книгу интересную мама читать будет.,1,1,0,1
Книгу интересную будет мама читать.,1,1,0,1
Книгу интересную будет читать мама.,1,1,1,1
Книгу интересную читать мама будет.,1,1,1,1
Книгу интересную читать будет мама.,1,1,1,1
