sentence,NotClitic2,LBE,NotSV,NounScram
Рабочие будут строить новую больницу.,0,0,0,0
Рабочие будут строить больницу новую.,0,0,0,1
Рабочие будут новую строить больницу.,0,1,0,0
Рабочие будут новую больницу строить.,0,1,0,1
Рабочие будут больницу строить новую.,0,0,0,1
Рабочие будут больницу новую строить.,0,1,0,1
Рабочие строить будут новую больницу.,1,0,0,0
Рабочие строить будут больницу новую.,1,0,0,1
Рабочие строить новую будут больницу.,1,0,0,0
Рабочие строить новую больницу будут.,1,0,0,1
Рабочие строить больницу будут новую.,1,0,0,1
Рабочие строить больницу новую будут.,1,0,0,1
Рабочие новую будут строить больницу.,1,1,0,0
Рабочие новую будут больницу строить.,1,1,0,1
Рабочие новую строить будут больницу.,1,1,0,0
Рабочие новую строить больницу будут.,1,1,0,1
Рабочие новую больницу будут строить.,1,1,0,1
Рабочие новую больницу строить будут.,1,1,0,1
Рабочие больницу будут строить новую.,1,0,0,1
Рабочие больницу будут новую строить.,1,1,0,1
Рабочие больницу строить будут новую.,1,0,0,1
Рабочие больницу строить новую будут.,1,0,0,1
Рабочие больницу новую будут строить.,1,1,0,1
Рабочие больницу новую строить будут.,1,1,0,1
Будут рабочие строить новую больницу.,1,0,0,0
Будут рабочие строить больницу новую.,1,0,0,1
Будут рабочие новую строить больницу.,1,1,0,0
Будут рабочие новую больницу строить.,1,1,0,1
Будут рабочие больницу строить новую.,1,0,0,1
Будут рабочие больницу новую строить.,1,1,0,1
Будут строить рабочие новую больницу.,1,0,1,0
Будут строить рабочие больницу новую.,1,0,1,1
Будут строить новую рабочие больницу.,1,0,1,0
Будут строить новую больницу рабочие.,1,0,1,1
Будут строить больницу рабочие новую.,1,0,1,1
Будут строить больницу новую рабочие.,1,0,1,1
Будут новую рабочие строить больницу.,1,1,0,0
Будут новую рабочие больницу строить.,1,1,0,1
Будут новую строить рабочие больницу.,1,1,1,0
Будут новую строить больницу рабочие.,1,1,1,1
Будут новую больницу рабочие строить.,1,1,0,1
Будут новую больницу строить рабочие.,1,1,1,1
Будут больницу рабочие строить новую.,1,0,0,1
Будут больницу рабочие новую строить.,1,1,0,1
Будут больницу строить рабочие новую.,1,0,1,1
Будут больницу строить новую рабочие.,1,0,1,1
Будут больницу новую рабочие строить.,1,1,0,1
Будут больницу новую строить рабочие.,1,1,1,1
Строить рабочие будут новую больницу.,1,0,1,0
Строить рабочие будут больницу новую.,1,0,1,1
Строить рабочие новую будут больницу.,1,0,1,0
