sentence,NotClitic2,LBE,NotSV,NounScram
Lovec je ujel hitrega zajca.,0,0,0,0
Lovec je ujel zajca hitrega.,0,0,0,1
Lovec je hitrega ujel zajca.,0,1,0,0
Lovec je hitrega zajca ujel.,0,1,0,1
Lovec je zajca ujel hitrega.,0,0,0,1
Lovec je zajca hitrega ujel.,0,1,0,1
Lovec ujel je hitrega zajca.,1,0,0,0
Lovec ujel je zajca hitrega.,1,0,0,1
Lovec ujel hitrega je zajca.,1,0,0,0
Lovec ujel hitrega zajca je.,1,0,0,1
Lovec ujel zajca je hitrega.,1,0,0,1
Lovec ujel zajca hitrega je.,1,0,0,1
Lovec hitrega je ujel zajca.,1,1,0,0
Lovec hitrega je zajca ujel.,1,1,0,1
Lovec hitrega ujel je zajca.,1,1,0,0
Lovec hitrega ujel zajca je.,1,1,0,1
Lovec hitrega zajca je ujel.,1,1,0,1
Lovec hitrega zajca ujel je.,1,1,0,1
Lovec zajca je ujel hitrega.,1,0,0,1
Lovec zajca je hitrega ujel.,1,1,0,1
Lovec zajca ujel je hitrega.,1,0,0,1
Lovec zajca ujel hitrega je.,1,0,0,1
Lovec zajca hitrega je ujel.,1,1,0,1
Lovec zajca hitrega ujel je.,1,1,0,1
Je lovec ujel hitrega zajca.,1,0,0,0
Je lovec ujel zajca hitrega.,1,0,0,1
Je lovec hitrega ujel zajca.,1,1,0,0
Je lovec hitrega zajca ujel.,1,1,0,1
Je lovec zajca ujel hitrega.,1,0,0,1
Je lovec zajca hitrega ujel.,1,1,0,1
Je ujel lovec hitrega zajca.,1,0,1,0
Je ujel lovec zajca hitrega.,1,0,1,1
Je ujel hitrega lovec zajca.,1,0,1,0
Je ujel hitrega zajca lovec.,1,0,1,1
Je ujel zajca lovec hitrega.,1,0,1,1
Je ujel zajca hitrega lovec.,1,0,1,1
Je hitrega lovec ujel zajca.,1,1,0,0
Je hitrega lovec zajca ujel.,1,1,0,1
Je hitrega ujel lovec zajca.,1,1,1,0
Je hitrega ujel zajca lovec.,1,1,1,1
Je hitrega zajca lovec ujel.,1,1,0,1
Je hitrega zajca ujel lovec.,1,1,1,1
Je zajca lovec ujel hitrega.,1,0,0,1
Je zajca lovec hitrega ujel.,1,1,0,1
Je zajca ujel lovec hitrega.,1,0,1,1
Je zajca ujel hitrega lovec.,1,0,1,1
Je zajca hitrega lovec ujel.,1,1,0,1
Je zajca hitrega ujel lovec.,1,1,1,1
Ujel lovec je hitrega zajca.,1,0,1,0
Ujel lovec je zajca hitrega.,1,0,1,1
Ujel lovec hitrega je zajca.,1,0,1,0
Ujel lovec hitrega zajca je.,1,0,1,1
Ujel lovec zajca je hitrega.,1,0,1,1
Ujel lovec zajca hitrega je.,1,0,1,1
Ujel je lovec hitrega zajca.,0,0,1,0
Ujel je lovec zajca hitrega.,0,0,1,1
Ujel je hitrega lovec zajca.,0,0,1,0
Ujel je hitrega zajca lovec.,0,0,1,1
Ujel je zajca lovec hitrega.,0,0,1,1
Ujel je zajca hitrega lovec.,0,0,1,1
Ujel hitrega lovec je zajca.,1,0,1,0
Ujel hitrega lovec zajca je.,1,0,1,1
Ujel hitrega je lovec zajca.,1,0,1,0
Ujel hitrega je zajca lovec.,1,0,1,1
Ujel hitrega zajca lovec je.,1,0,1,1
Ujel hitrega zajca je lovec.,1,0,1,1
Ujel zajca lovec je hitrega.,1,0,1,1
Ujel zajca lovec hitrega je.,1,0,1,1
Ujel zajca je lovec hitrega.,1,0,1,1
Ujel zajca je hitrega lovec.,1,0,1,1
Ujel zajca hitrega lovec je.,1,0,1,1
Ujel zajca hitrega je lovec.,1,0,1,1
Hitrega lovec je ujel zajca.,1,1,0,0
Hitrega lovec je zajca ujel.,1,1,0,1
Hitrega lovec ujel je zajca.,1,1,0,0
Hitrega lovec ujel zajca je.,1,1,0,1
Hitrega lovec zajca je ujel.,1,1,0,1
Hitrega lovec zajca ujel je.,1,1,0,1
Hitrega je lovec ujel zajca.,0,1,0,0
Hitrega je lovec zajca ujel.,0,1,0,1
Hitrega je ujel lovec zajca.,0,1,1,0
Hitrega je ujel zajca lovec.,0,1,1,1
Hitrega je zajca lovec ujel.,0,1,0,1
Hitrega je zajca ujel lovec.,0,1,1,1
Hitrega ujel lovec je zajca.,1,1,1,0
Hitrega ujel lovec zajca je.,1,1,1,1
Hitrega ujel je lovec zajca.,1,1,1,0
Hitrega ujel je zajca lovec.,1,1,1,1
Hitrega ujel zajca lovec je.,1,1,1,1
Hitrega ujel zajca je lovec.,1,1,1,1
Hitrega zajca lovec je ujel.,1,1,0,1
Hitrega zajca lovec ujel je.,1,1,0,1
Hitrega zajca je lovec ujel.,1,1,0,1
Hitrega zajca je ujel lovec.,1,1,1,1
Hitrega zajca ujel lovec je.,1,1,1,1
Hitrega zajca ujel je lovec.,1,1,1,1
Zajca lovec je ujel hitrega.,1,0,0,1
Zajca lovec je hitrega ujel.,1,1,0,1
Zajca lovec ujel je hitrega.,1,0,0,1
Zajca lovec ujel hitrega je.,1,0,0,1
Zajca lovec hitrega je ujel.,1,1,0,1
Zajca lovec hitrega ujel je.,1,1,0,1
Zajca je lovec ujel hitrega.,0,0,0,1
Zajca je lovec hitrega ujel.,0,1,0,1
Zajca je ujel lovec hitrega.,0,0,1,1
Zajca je ujel hitrega lovec.,0,0,1,1
Zajca je hitrega lovec ujel.,0,1,0,1
Zajca je hitrega ujel lovec.,0,1,1,1
Zajca ujel lovec je hitrega.,1,0,1,1
Zajca ujel lovec hitrega je.,1,0,1,1
Zajca ujel je lovec hitrega.,1,0,1,1
Zajca ujel je hitrega lovec.,1,0,1,1
Zajca ujel hitrega lovec je.,1,0,1,1
Zajca ujel hitrega je lovec.,1,0,1,1
Zajca hitrega lovec je ujel.,1,1,0,1
Zajca hitrega lovec ujel je.,1,1,0,1
Zajca hitrega je lovec ujel.,1,1,0,1
Zajca hitrega je ujel lovec.,1,1,1,1
Zajca hitrega ujel lovec je.,1,1,1,1
Zajca hitrega ujel je lovec.,1,1,1,1
