sentence,NotClitic2,LBE,NotSV,NounScram
Nina je nabrala sladke jagode.,0,0,0,0
Nina je nabrala jagode sladke.,0,0,0,1
Nina je sladke nabrala jagode.,0,1,0,0
Nina je sladke jagode nabrala.,0,1,0,1
Nina je jagode nabrala sladke.,0,0,0,1
Nina je jagode sladke nabrala.,0,1,0,1
Nina nabrala je sladke jagode.,1,0,0,0
Nina nabrala je jagode sladke.,1,0,0,1
Nina nabrala sladke je jagode.,1,0,0,0
Nina nabrala sladke jagode je.,1,0,0,1
Nina nabrala jagode je sladke.,1,0,0,1
Nina nabrala jagode sladke je.,1,0,0,1
Nina sladke je nabrala jagode.,1,1,0,0
Nina sladke je jagode nabrala.,1,1,0,1
Nina sladke nabrala je jagode.,1,1,0,0
Nina sladke nabrala jagode je.,1,1,0,1
Nina sladke jagode je nabrala.,1,1,0,1
Nina sladke jagode nabrala je.,1,1,0,1
Nina jagode je nabrala sladke.,1,0,0,1
Nina jagode je sladke nabrala.,1,1,0,1
Nina jagode nabrala je sladke.,1,0,0,1
Nina jagode nabrala sladke je.,1,0,0,1
Nina jagode sladke je nabrala.,1,1,0,1
Nina jagode sladke nabrala je.,1,1,0,1
Je nina nabrala sladke jagode.,1,0,0,0
Je nina nabrala jagode sladke.,1,0,0,1
Je nina sladke nabrala jagode.,1,1,0,0
Je nina sladke jagode nabrala.,1,1,0,1
Je nina jagode nabrala sladke.,1,0,0,1
Je nina jagode sladke nabrala.,1,1,0,1
Je nabrala nina sladke jagode.,1,0,1,0
Je nabrala nina jagode sladke.,1,0,1,1
Je nabrala sladke nina jagode.,1,0,1,0
Je nabrala sladke jagode nina.,1,0,1,1
Je nabrala jagode nina sladke.,1,0,1,1
Je nabrala jagode sladke nina.,1,0,1,1
Je sladke nina nabrala jagode.,1,1,0,0
Je sladke nina jagode nabrala.,1,1,0,1
Je sladke nabrala nina jagode.,1,1,1,0
Je sladke nabrala jagode nina.,1,1,1,1
Je sladke jagode nina nabrala.,1,1,0,1
Je sladke jagode nabrala nina.,1,1,1,1
Je jagode nina nabrala sladke.,1,0,0,1
Je jagode nina sladke nabrala.,1,1,0,1
Je jagode nabrala nina sladke.,1,0,1,1
Je jagode nabrala sladke nina.,1,0,1,1
Je jagode sladke nina nabrala.,1,1,0,1
Je jagode sladke nabrala nina.,1,1,1,1
Nabrala nina je sladke jagode.,1,0,1,0
Nabrala nina je jagode sladke.,1,0,1,1
Nabrala nina sladke je jagode.,1,0,1,0
Nabrala nina sladke jagode je.,1,0,1,1
Nabrala nina jagode je sladke.,1,0,1,1
Nabrala nina jagode sladke je.,1,0,1,1
Nabrala je nina sladke jagode.,0,0,1,0
Nabrala je nina jagode sladke.,0,0,1,1
Nabrala je sladke nina jagode.,0,0,1,0
Nabrala je sladke jagode nina.,0,0,1,1
Nabrala je jagode nina sladke.,0,0,1,1
Nabrala je jagode sladke nina.,0,0,1,1
Nabrala sladke nina je jagode.,1,0,1,0
Nabrala sladke nina jagode je.,1,0,1,1
Nabrala sladke je nina jagode.,1,0,1,0
Nabrala sladke je jagode nina.,1,0,1,1
Nabrala sladke jagode nina je.,1,0,1,1
Nabrala sladke jagode je nina.,1,0,1,1
Nabrala jagode nina je sladke.,1,0,1,1
Nabrala jagode nina sladke je.,1,0,1,1
Nabrala jagode je nina sladke.,1,0,1,1
Nabrala jagode je sladke nina.,1,0,1,1
Nabrala jagode sladke nina je.,1,0,1,1
Nabrala jagode sladke je nina.,1,0,1,1
Sladke nina je nabrala jagode.,1,1,0,0
Sladke nina je jagode nabrala.,1,1,0,1
Sladke nina nabrala je jagode.,1,1,0,0
Sladke nina nabrala jagode je.,1,1,0,1
Sladke nina jagode je nabrala.,1,1,0,1
Sladke nina jagode nabrala je.,1,1,0,1
Sladke je nina nabrala jagode.,0,1,0,0
Sladke je nina jagode nabrala.,0,1,0,1
Sladke je nabrala nina jagode.,0,1,1,0
Sladke je nabrala jagode nina.,0,1,1,1
Sladke je jagode nina nabrala.,0,1,0,1
Sladke je jagode nabrala nina.,0,1,1,1
Sladke nabrala nina je jagode.,1,1,1,0
Sladke nabrala nina jagode je.,1,1,1,1
Sladke nabrala je nina jagode.,1,1,1,0
Sladke nabrala je jagode nina.,1,1,1,1
Sladke nabrala jagode nina je.,1,1,1,1
Sladke nabrala jagode je nina.,1,1,1,1
Sladke jagode nina je nabrala.,1,1,0,1
Sladke jagode nina nabrala je.,1,1,0,1
Sladke jagode je nina nabrala.,1,1,0,1
Sladke jagode je nabrala nina.,1,1,1,1
Sladke jagode nabrala nina je.,1,1,1,1
Sladke jagode nabrala je nina.,1,1,1,1
Jagode nina je nabrala sladke.,1,0,0,1
Jagode nina je sladke nabrala.,1,1,0,1
Jagode nina nabrala je sladke.,1,0,0,1
Jagode nina nabrala sladke je.,1,0,0,1
Jagode nina sladke je nabrala.,1,1,0,1
Jagode nina sladke nabrala je.,1,1,0,1
Jagode je nina nabrala sladke.,0,0,0,1
Jagode je nina sladke nabrala.,0,1,0,1
Jagode je nabrala nina sladke.,0,0,1,1
Jagode je nabrala sladke nina.,0,0,1,1
Jagode je sladke nina nabrala.,0,1,0,1
Jagode je sladke nabrala nina.,0,1,1,1
Jagode nabrala nina je sladke.,1,0,1,1
Jagode nabrala nina sladke je.,1,0,1,1
Jagode nabrala je nina sladke.,1,0,1,1
Jagode nabrala je sladke nina.,1,0,1,1
Jagode nabrala sladke nina je.,1,0,1,1
Jagode nabrala sladke je nina.,1,0,1,1
Jagode sladke nina je nabrala.,1,1,0,1
Jagode sladke nina nabrala je.,1,1,0,1
Jagode sladke je nina nabrala.,1,1,0,1
Jagode sladke je nabrala nina.,1,1,1,1
Jagode sladke nabrala nina je.,1,1,1,1
